2	1	727.0121	-302.4415	0
3	1	726.2509	-302.396	0
3	2	-113.348	-207.8511	0
4	1	725.1804	-302.3306	0
4	2	-112.9553	-206.8408	0
4	3	536.7027	1270.613	2
5	1	723.8397	-302.2502	0
5	2	-114.4532	-203.2845	0
5	3	531.989	1270.034	2
5	4	541.3615	1278.845	2
6	1	721.7182	-302.4976	0
6	2	-116.2815	-200.5421	0
6	3	531.9221	1263.843	2
6	4	540.2759	1276.914	2
7	1	719.863	-302.4973	0
7	2	-117.8253	-197.0037	0
7	3	529.3647	1259.53	2
7	4	539.1664	1274.82	2
8	1	717.8596	-302.4143	0
8	2	-119.3173	-192.4001	0
8	3	525.4418	1255.564	2
8	4	538.0769	1272.441	2
9	1	715.799	-302.0293	0
9	2	-121.9271	-187.5906	0
9	3	521.7451	1251.085	2
9	4	537.0748	1269.674	2
10	1	713.6548	-301.3252	0
10	2	-121.7815	-182.7819	0
10	3	518.1849	1246.075	2
10	4	535.9645	1266.944	2
11	1	711.3766	-300.9768	0
11	2	-120.3428	-177.3163	0
11	3	514.2761	1240.924	2
11	4	534.6515	1264.41	2
12	1	708.9658	-300.7041	0
12	2	-118.1913	-171.4878	0
12	3	510.2068	1235.016	2
12	4	533.1367	1261.791	2
13	1	706.4617	-300.2787	0
13	2	-115.53	-165.5519	0
13	3	506.3475	1229.04	2
13	4	530.9778	1259.382	2
14	1	703.872	-299.7089	0
14	2	-112.5381	-159.5328	0
14	3	502.7419	1223.392	2
14	4	528.3672	1257.269	2
15	1	701.2319	-299.0593	0
15	2	-108.3009	-153.2164	0
15	3	499.4962	1218.035	2
15	4	526.4101	1254.123	2
16	1	698.4839	-298.377	0
16	2	-106.9989	-152.0894	0
16	3	496.179	1212.379	2
16	4	524.1384	1250.516	2
17	1	695.6049	-297.6831	0
17	2	-104.9	-149.1036	0
17	3	492.9156	1206.863	2
17	4	521.781	1246.484	2
18	1	692.6299	-297.0771	0
18	2	-101.7556	-145.5401	0
18	3	489.6627	1201.422	2
18	4	519.3815	1242.252	2
19	1	689.6927	-296.6504	0
19	2	-97.7597	-141.6704	0
19	3	486.5291	1195.009	2
19	4	517.1387	1238.355	2
20	1	686.7303	-296.3595	0
20	2	-93.00421	-136.6686	0
20	3	482.8417	1189.56	2
20	4	515.1042	1234.838	2
21	1	683.7173	-296.4086	0
21	2	-87.7677	-132.2877	0
21	3	478.6244	1184.542	2
21	4	513.329	1231.529	2
22	1	680.8087	-296.7561	0
22	2	-81.51276	-127.975	0
22	3	474.7437	1179.713	2
22	4	511.4201	1227.355	2
23	1	678.0062	-297.0005	0
23	2	-79.62286	-127.7318	0
23	3	471.0275	1174.817	2
23	4	509.4124	1222.919	2
24	1	675.1423	-296.8701	0
24	2	-76.62067	-125.6283	0
24	3	467.1359	1169.726	2
24	4	507.4109	1218.845	2
25	1	672.1876	-296.5234	0
25	2	-73.44855	-123.3345	0
25	3	463.257	1163.857	2
25	4	505.5481	1213.891	2
26	1	669.1914	-296.0229	0
26	2	-68.80585	-119.9011	0
26	3	459.6477	1157.998	2
26	4	503.2979	1209.695	2
27	1	666.2467	-295.5854	0
27	2	-63.49261	-115.9691	0
27	3	456.8291	1152.053	2
27	4	500.6772	1206.098	2
28	1	663.2858	-295.3044	0
28	2	-57.55518	-111.4426	0
28	3	454.6094	1146.246	2
28	4	497.1016	1203.045	2
29	1	660.1288	-295.0342	0
29	2	-51.47198	-106.6185	0
29	3	452.5299	1140.058	2
29	4	494.6854	1199.468	2
30	1	656.8616	-294.8857	0
30	2	-49.79401	-105.849	0
30	3	450.6974	1133.955	2
30	4	492.0831	1195.54	2
31	1	653.7804	-294.7848	0
31	2	-46.48645	-103.1526	0
31	3	449.0735	1127.755	2
31	4	489.3705	1191.332	2
